family,command,ordinal,msg_id,ble_msg_type,mqtt_message_type
home,READ_WIFI_LIST,0,3001,1,DevicePropertyChange
home,WRITE_WIFI_INFO,1,3002,2,DevicePropertyChange
home,SEND_TIME_ZONE,2,3003,3,DevicePropertyChange
home,GET_TIME_ZONE,3,3004,22,DevicePropertyChange
home,SYNC_MQTT_CONNECT_INFO,4,3005,99,DevicePropertyChange
home,GET_DEVICE_OTA_VERSION,5,3006,100,DevicePropertyChange
home,NOTIFY_DEVICE_CAN_OTA,6,3007,101,DevicePropertyChange
home,NOTIFY_DEVICE_OTA_TOTAL_PAGE,7,3008,102,DevicePropertyChange
home,DEVICE_GET_OTA_PAGE_DATA,8,3009,103,DevicePropertyChange
home,SYNC_GRID_STANDARD,9,3010,105,DevicePropertyChange
home,READ_DEVICE_INFO,10,3011,106,QueryDeviceProperty
home,BIND_SMART_PART,11,3012,108,BindSmartAccessory
home,UNBIND_SMART_PART,12,3013,109,RemoveSmartAccessory
home,READ_SUB_DEVICE_BATTERY_PACK,13,3014,110,QuerySubDeviceGroupProperty
home,TIMER_TASK_ADD,14,3015,112,DownloadDeviceSchedule
home,TIMER_TASK_DELETE,15,3016,112,DownloadDeviceSchedule
home,TIMER_TASK_UPDATE,16,3017,112,DownloadDeviceSchedule
home,TIMER_TASK_READ,17,3018,112,DownloadDeviceSchedule
home,READ_SYSTEM_INFO,18,3019,120,QueryCombineData
home,SYSTEM_GET_STORM_EVENT,19,3020,23,QueryWeatherPlan
home,SYSTEM_CONTROL_AUTO_STANDBY,20,3021,121,ControlCombine
home,CONTROL_AC_OFF_GRID_SWITCH,21,3022,107,DevicePropertyChange
home,CONTROL_STANDBY,22,3023,107,DevicePropertyChange
home,SUB_CONTROL_SOCKET_SWITCH,23,3024,111,ControlSubDevice
home,SUB_CONTROL_SOCKET_PRI_ENABLE,24,3025,111,ControlSubDevice
home,SUB_SET_CT_SCHEDULE_PHASE,25,3026,111,ControlSubDevice
home,SYSTEM_SET_WORK_MODEL,26,3027,121,ControlCombine
home,SET_CHARGE_DISCHARGE_LINE,27,3028,107,DevicePropertyChange
home,SYSTEM_SET_FEED_GRID_POWER,28,3029,121,ControlCombine
home,CONTROL_REBOOT,29,3030,107,DevicePropertyChange
home,READ_SUB_DEVICE_CT,30,3031,110,QuerySubDeviceGroupProperty
home,READ_SUB_DEVICE_SOCKET,31,3032,110,QuerySubDeviceGroupProperty
